selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
LearnedLogistic,0.3,0.180492478486554,0.15071009981300254,0.21188986866014511,34,1439,0.180492478486554,horizon_h4
LearnedLogistic,0.4,0.2933053758987257,0.2562404693466918,0.3290510588240715,34,1439,0.2933053758987257,horizon_h4
LearnedLogistic,0.5,0.43767282510594663,0.3942959778307203,0.47911853907929064,34,1439,0.43767282510594663,horizon_h4
LearnedLogistic,0.6,0.5892353905666518,0.5481794402532612,0.6295597828251269,34,1439,0.5892353905666518,horizon_h4
LearnedLogistic,0.8,0.8657544116808006,0.8239598952159196,0.9079329066398197,34,1439,0.8657544116808006,horizon_h4
LearnedLogistic,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
Oracle,0.1,0.35311422112533747,0.3266156504438006,0.37893525172398396,34,1439,0.35311422112533747,horizon_h4
Oracle,0.2,0.5705348267673437,0.5322431679084643,0.6105014406066446,34,1439,0.5705348267673437,horizon_h4
Oracle,0.3,0.7676071993869653,0.7229723366545766,0.8114100789464821,34,1439,0.7676071993869653,horizon_h4
Oracle,0.4,0.8859076204393228,0.8457328967287473,0.9237024449381601,34,1439,0.8859076204393228,horizon_h4
Oracle,0.5,0.9497599163178198,0.9201883348406212,0.9748902627090513,34,1439,0.9497599163178198,horizon_h4
Oracle,0.6,0.9922662569543059,0.9855770487790486,0.9975795739064186,34,1439,0.9922662569543059,horizon_h4
Oracle,0.8,1.0,1.0,1.0,34,1439,1.0,horizon_h4
Oracle,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
Random,0.1,0.09831792056349505,0.08830016967054713,0.11188853033972251,34,1439,0.09831792056349505,horizon_h4
Random,0.2,0.19655282912955405,0.18692826557592743,0.20716138851254615,34,1439,0.19655282912955405,horizon_h4
Random,0.3,0.29590948965678704,0.2858720158981824,0.3095800798774009,34,1439,0.29590948965678704,horizon_h4
Random,0.4,0.3946275777054157,0.3855379681706712,0.40391945387556993,34,1439,0.3946275777054157,horizon_h4
Random,0.5,0.497223842362159,0.4864971020873037,0.5099967116241955,34,1439,0.497223842362159,horizon_h4
Random,0.6,0.5983685734524489,0.5880182687579784,0.6097968010542903,34,1439,0.5983685734524489,horizon_h4
Random,0.8,0.8003748813429203,0.791703477324473,0.8097544995853068,34,1439,0.8003748813429203,horizon_h4
Random,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
SimpleCoverageLoad,0.1,0.06141729245162808,0.04766642631404561,0.07547754582656827,34,1439,0.06141729245162808,horizon_h4
SimpleCoverageLoad,0.2,0.15745795052268502,0.12742922063686243,0.18912233936989234,34,1439,0.15745795052268502,horizon_h4
SimpleCoverageLoad,0.3,0.29133790681800886,0.24380819687104915,0.34339402024883087,34,1439,0.29133790681800886,horizon_h4
SimpleCoverageLoad,0.4,0.4378686945306009,0.38601088942086903,0.4892586145103437,34,1439,0.4378686945306009,horizon_h4
SimpleCoverageLoad,0.5,0.5806367831444522,0.508213917720831,0.651666919167273,34,1439,0.5806367831444522,horizon_h4
SimpleCoverageLoad,0.6,0.7268481318385307,0.6719998270174621,0.781569159098057,34,1439,0.7268481318385307,horizon_h4
SimpleCoverageLoad,0.8,0.9045053044271877,0.8654310014722146,0.9389658075989864,34,1439,0.9045053044271877,horizon_h4
SimpleCoverageLoad,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
B02Utility,0.1,0.06607222893481242,0.05165014319052773,0.08266877681973882,52,2133,0.06607222893481242,next_use_all_policies
B02Utility,0.2,0.14085878497859408,0.11858309679582134,0.16381867776895312,52,2133,0.14085878497859408,next_use_all_policies
B02Utility,0.3,0.24988283842138023,0.2220584476635334,0.27741001941924937,52,2133,0.24988283842138023,next_use_all_policies
B02Utility,0.4,0.3450498272484641,0.3121532353886243,0.37763957830131906,52,2133,0.3450498272484641,next_use_all_policies
B02Utility,0.5,0.45708059418812963,0.4230024867231633,0.4914535191267823,52,2133,0.45708059418812963,next_use_all_policies
B02Utility,0.6,0.611535503399222,0.5831146453692259,0.6405771397874589,52,2133,0.611535503399222,next_use_all_policies
B02Utility,0.8,0.8356269720199525,0.8072260639205846,0.8619524326405211,52,2133,0.8356269720199525,next_use_all_policies
B02Utility,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
CoverageAdvantage,0.1,0.05891119898301436,0.04805618592196054,0.0708774756566826,52,2133,0.05891119898301436,next_use_all_policies
CoverageAdvantage,0.2,0.1430062129308318,0.12053160448093549,0.1662079779695774,52,2133,0.1430062129308318,next_use_all_policies
CoverageAdvantage,0.3,0.2619086036944104,0.23067392438644946,0.29283541923589174,52,2133,0.2619086036944104,next_use_all_policies
